artists,valence,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,popularity
Ellen Gottschalch & Edgar Hansen,0.3,0.996,0.508,188867.0,0.0874,0.447,0.1639999999999999,-18.305,0.0414,134.569,0.0
Luis Russell & His Louisiana Swing Orchestra,0.8640000000000001,0.81,0.688,193200.0,0.54,0.941,0.0679,-7.242000000000001,0.0765,123.497,0.0
Biren Bal,0.774,0.95,0.679,165670.0,0.188,0.0,0.123,-11.75,0.0545,104.988,0.0
Luis Rovira,0.848,0.7150000000000001,0.7315,156970.0,0.5694999999999999,0.24942500000000006,0.129,-8.629999999999999,0.0456,103.29650000000001,0.0
Quarter Past One,0.534,0.0005009999999999,0.473,153787.0,0.85,6.89e-06,0.327,-4.309,0.0571,150.056,0.0
Twisted Bitz,0.609,0.00234,0.736,361846.0,0.878,0.0116,0.0715,-5.428999999999999,0.107,130.012,0.0
Luis Fernando Ramirez Zuluaga,0.43366666666666664,0.8756666666666667,0.5126666666666667,194576.08333333334,0.3119166666666667,0.05814402916666666,0.09950833333333332,-7.363333333333333,0.03203333333333333,109.8655,0.0
Helium Protect,0.741,0.383,0.866,276880.0,0.5820000000000001,0.0,0.116,-10.879,0.217,127.981,0.0
The Charmers,0.7424999999999999,0.891,0.583,137138.0,0.4055,0.0002615,0.2175,-11.273,0.13240000000000002,92.78550000000001,0.0
Luis Alvarez,0.617,0.964,0.409,207680.0,0.275,0.637,0.124,-17.792,0.0582,111.761,0.0
Ella Meadon,0.262,0.919,0.479,170500.0,0.0842,0.0032,0.107,-14.467,0.0322,138.326,0.0
Quatro Ases e Um Curinga,0.6679999999999999,0.985,0.8340000000000001,167340.0,0.328,0.953,0.291,-18.12,0.0451,133.02,0.0
Luis Rovira y su Orquesta,0.69,0.6719499999999999,0.4575,170776.5,0.6493333333333333,0.29181850000000004,0.3388,-8.230666666666666,0.06301666666666667,123.79133333333334,0.0
Ram Marathe,0.673,0.9895,0.438,194246.5,0.22949999999999998,0.36550000000000005,0.2605,-12.648,0.04215,68.5235,0.0
Edu Da Gaita,0.622,0.894,0.4383333333333333,153016.66666666666,0.444,0.09372000000000001,0.10313333333333334,-10.842666666666666,0.053266666666666664,97.879,0.0
Ram Saigal,0.467,0.911,0.373,186375.0,0.431,5.18e-05,0.181,-9.778,0.0417,98.007,0.0
Brinquinho e Brioso,0.8285,0.98275,0.7085,162226.25,0.3635,0.30808325,0.20449999999999996,-12.879999999999999,0.07995,145.6085,0.0
Sofia Karivali,0.8143333333333334,0.9936666666666666,0.5433333333333333,188235.33333333334,0.27666666666666667,0.6043333333333334,0.17033333333333334,-12.466,0.06253333333333333,140.032,0.0
Sofia Iatridou,0.681,0.98,0.392,202473.5,0.4025,0.242271,0.2356,-9.009,0.0448,154.15550000000002,0.0
In the Labyrinth,0.268,0.5539999999999999,0.48650000000000004,272893.0,0.4465,0.09325,0.6759999999999999,-10.253499999999999,0.03185,116.2145,0.0
Tony Proteau & His Orchestra,0.617,0.757,0.5645,179221.5,0.7505,0.029930000000000002,0.202,-5.375,0.0795,132.5485,0.0
Durga Khote,0.409,0.99,0.36,197320.0,0.205,0.899,0.338,-14.235,0.0415,84.04899999999998,0.0
Tony Pizarro con Ray Dávila y su Conjunto,0.9235,0.8230000000000001,0.7925,168474.5,0.511,0.00227608,0.11014999999999994,-10.668,0.1695,119.74749999999999,0.0
InNeR ChiLd,0.8640000000000001,0.0639,0.7659999999999999,115206.0,0.937,0.435,0.701,-6.593999999999999,0.106,122.016,0.0
Duo Fasano,0.823,0.989,0.481,158373.0,0.394,0.526,0.293,-11.742,0.0709,193.044,0.0
Red Camp,0.387,0.857,0.393,263067.0,0.23,0.569,0.299,-18.571,0.0311,80.582,0.0
Tony Mafia,0.27549999999999997,0.11906549999999999,0.7675000000000001,471995.5,0.881,0.7975,0.123,-6.8595000000000015,0.039349999999999996,124.9985,0.0
Lillian Hayman,0.257,0.98,0.313,188808.0,0.306,0.00528,0.111,-12.557,0.0415,82.93700000000003,0.0
Duo Fasano con Orchestra Angelini,0.7625,0.966,0.49850000000000005,172173.0,0.183,0.37599000000000005,0.29100000000000004,-22.491500000000002,0.073,178.5535,0.0
Broken Fly,0.174,0.0126,0.732,309818.0,0.889,0.0107,0.0802,-4.225,0.0782,109.98,0.0
Bronisilau Kaper,0.0351,0.947,0.147,140845.0,0.0975,0.652,0.131,-15.396,0.0385,165.503,0.0
Duo A & G,0.091,0.995,0.292,183853.0,0.116,0.378,0.202,-17.709,0.0397,74.678,0.0
Inayat Husain Bhatti,0.877,0.973,0.732,182178.0,0.46,3.91e-06,0.277,-10.973,0.05,130.13299999999998,0.0
Tony Russo,0.804,0.807,0.41,157340.0,0.484,0.0,0.335,-7.4529999999999985,0.0439,164.62599999999995,0.0
Bring Bliss,0.364,0.0936,0.752,408505.0,0.385,0.8440000000000001,0.0891,-12.959,0.0443,119.971,0.0
Brijmala,0.5459999999999999,0.9913333333333334,0.49833333333333335,191913.33333333334,0.221,0.5156786666666667,0.16286666666666666,-11.701333333333332,0.04763333333333333,118.77733333333333,0.0
Raúl Abríl,0.7216666666666667,0.652,0.474,162561.33333333334,0.5630000000000001,0.0636,0.5203333333333333,-10.822000000000001,0.0617,122.702,0.0
Ila Devi,0.498,0.991,0.5095000000000001,200797.5,0.2675,0.03893,0.1795,-10.0815,0.0883,96.509,0.0
Ila Ghosh,0.6156666666666667,0.9893333333333333,0.45966666666666667,183651.66666666666,0.17733333333333334,0.5204333333333333,0.19666666666666666,-14.71433333333333,0.0940333333333333,119.656,0.0
Dwijen Mukherjee,0.39066666666666666,0.9636666666666667,0.4263333333333333,181520.0,0.2273333333333333,0.2813336766666667,0.27699999999999997,-14.823666666666666,0.07586666666666667,111.646,0.0
Dwijen Chowdhury,0.4585,0.9864999999999999,0.37100000000000005,178933.5,0.20450000000000002,0.5229999999999999,0.11599999999999999,-15.136000000000001,0.0501,68.5065,0.0
